x,y,x-clean,y-clean,x-values-only,y-values-only
7377.818181818182,3221.6216216216208,7377.818181818182,3221.6216216216208,7378,3222
8371.704545454546,3333.8918918918926,8371.704545454546,3333.8918918918926,8372,3334
7046.522727272728,3558.4324324324325,7046.522727272728,3558.4324324324325,7047,3558
8150.840909,3782.9729729729734,8150.84090909091,3782.9729729729734,8151,3783
3623.136363636364,2997.081081081081,3623.136363636364,2997.081081081081,3623,2997
6604.795454545454,3782.9729729729734,6604.795454545454,3782.9729729729734,6605,3783
7819.545454545454,4232.054054054054,7819.545454545454,4232.054054054054,7820,4232
6163.068181818182,3895.2432432432433,6163.068181818182,3895.2432432432433,6163,3895
7598.681818181818,4681.135135135136,7598.681818181818,4681.135135135136,7599,4681
5721.340909,4007.5135135135133,5721.34090909091,4007.5135135135133,5721,4008
7488.25,5130.216216216217,7488.25,5130.216216216217,7488,5130
7046.522727272728,5242.486486486487,7046.522727272728,5242.486486486487,7047,5242
6604.795454545454,5242.486486486487,6604.795454545454,5242.486486486487,6605,5242
6163.068181818182,5017.945945945946,6163.068181818182,5017.945945945946,6163,5018
5390.045454545454,4456.594594594594,5390.045454545454,4456.594594594594,5390,4457
5721.340909,4793.405405405406,5721.34090909091,4793.405405405406,5721,4793
1524.931818181818,6365.189189189189,1524.931818181818,6365.189189189189,1525,6365
1193.6363636363635,6702,1193.6363636363635,6702,1194,6702
1524.931818181818,5916.108108108107,1524.931818181818,5916.108108108107,1525,5916
751.9090909,6702,751.909090909091,6702,752,6702
1414.5,5467.027027027027,1414.5,5467.027027027027,1415,5467
310.1818182,6702,310.181818181818,6702,310,6702
3181.409090909091,3109.351351351351,3181.409090909091,3109.351351351351,3181,3109
-131.5454545,6702,-131.545454545454,6702,-132,6702
1414.5,5017.945945945946,1414.5,5017.945945945946,1415,5018
-573.2727273,6477.459459,-573.272727272727,6477.45945945946,-573,6477
1304.068181818182,4568.864864864864,1304.068181818182,4568.864864864864,1304,4569
-904.5681818,6140.648648648649,-904.568181818181,6140.648648648649,-905,6141
2739.681818181818,3333.8918918918926,2739.681818181818,3333.8918918918926,2740,3334
-1015,5691.5675675675675,-1015,5691.5675675675675,-1015,5692
2297.954545454545,3558.4324324324325,2297.954545454545,3558.4324324324325,2298,3558
1193.6363636363635,4119.783783783783,1193.6363636363635,4119.783783783783,1194,4120
-1015,5242.486486486487,-1015,5242.486486486487,-1015,5242
-794.1363636,4793.405405405406,-794.136363636363,4793.405405405406,-794,4793
-683.7045455,4456.594594594594,-683.704545454545,4456.594594594594,-684,4457
1856.227272727273,3446.1621621621625,1856.227272727273,3446.1621621621625,1856,3446
1193.6363636363635,3670.7027027027025,1193.6363636363635,3670.7027027027025,1194,3671
-573.2727273,4007.5135135135133,-573.272727272727,4007.5135135135133,-573,4008
1414.5,3333.8918918918926,1414.5,3333.8918918918926,1415,3334
-352.4090909,3558.4324324324325,-352.409090909091,3558.4324324324325,-352,3558
-131.5454545,3109.351351351351,-131.545454545454,3109.351351351351,-132,3109
-21.11363636,2660.27027,-21.1136363636362,2660.27027027027,-21,2660
1083.2045454545455,2548,1083.2045454545455,2548,1083,2548
199.75,2211.1891891891896,199.75,2211.1891891891896,200,2211
751.9090909,2211.1891891891896,751.909090909091,2211.1891891891896,752,2211
1524.931818181818,2323.4594594594596,1524.931818181818,2323.4594594594596,1525,2323
310.1818182,1762.1081081081084,310.181818181818,1762.1081081081084,310,1762
972.7727272727275,1762.1081081081084,972.7727272727275,1762.1081081081084,973,1762
1966.659090909091,2211.1891891891896,1966.659090909091,2211.1891891891896,1967,2211
531.0454545454545,1313.027027027027,531.0454545454545,1313.027027027027,531,1313
1414.5,1649.837837837838,1414.5,1649.837837837838,1415,1650
751.9090909,863.9459459459463,751.909090909091,863.9459459459463,752,864
2408.386363636364,2098.9189189189187,2408.386363636364,2098.9189189189187,2408,2099
1745.795454545455,1313.027027027027,1745.795454545455,1313.027027027027,1746,1313
972.7727272727275,414.8648649,972.7727272727275,414.864864864865,973,415
1083.2045454545455,-34.21621622,1083.2045454545455,-34.216216216216,1083,-34
1856.227272727273,863.9459459459463,1856.227272727273,863.9459459459463,1856,864
2850.113636363636,2098.9189189189187,2850.113636363636,2098.9189189189187,2850,2099
1304.068181818182,-483.2972973,1304.068181818182,-483.297297297297,1304,-483
1856.227272727273,414.8648649,1856.227272727273,414.864864864865,1856,415
1524.931818181818,-932.3783784,1524.931818181818,-932.378378378378,1525,-932
1966.659090909091,-34.21621622,1966.659090909091,-34.216216216216,1967,-34
1635.363636363636,-1381.459459,1635.363636363636,-1381.45945945945,1635,-1381
2077.090909090909,-483.2972973,2077.090909090909,-483.297297297297,2077,-483
2077.090909090909,-1606,2077.090909090909,-1606,2077,-1606
2297.954545454545,-932.3783784,2297.954545454545,-932.378378378378,2298,-932
2408.386363636364,-1381.459459,2408.386363636364,-1381.45945945945,2408,-1381
3291.840909090909,2098.9189189189187,3291.840909090909,2098.9189189189187,3292,2099
3733.568181818182,2211.1891891891896,3733.568181818182,2211.1891891891896,3734,2211
4175.295454545454,2323.4594594594596,4175.295454545454,2323.4594594594596,4175,2323
5500.477272727272,1874.3783783783783,5500.477272727272,1874.3783783783783,5500,1874
4617.022727272728,2323.4594594594596,4617.022727272728,2323.4594594594596,4617,2323
5942.204545454546,1762.1081081081084,5942.204545454546,1762.1081081081084,5942,1762
6383.931818181818,1649.837837837838,6383.931818181818,1649.837837837838,6384,1650
5058.75,2211.1891891891896,5058.75,2211.1891891891896,5059,2211
6825.659091,1649.837837837838,6825.65909090909,1649.837837837838,6826,1650
7267.386363636364,1649.837837837838,7267.386363636364,1649.837837837838,7267,1650
7709.113636363636,1649.837837837838,7709.113636363636,1649.837837837838,7709,1650
8150.840909,1762.1081081081084,8150.84090909091,1762.1081081081084,8151,1762
8592.568181818182,1986.6486486486488,8592.568181818182,1986.6486486486488,8593,1987
4948.318181818182,2660.27027,4948.318181818182,2660.27027027027,4948,2660
4506.590909,2772.540541,4506.59090909091,2772.54054054054,4507,2773
5390.045454545454,2660.27027,5390.045454545454,2660.27027027027,5390,2660
5831.772727272728,2660.27027,5831.772727272728,2660.27027027027,5832,2660
8703,2435.72973,8703,2435.72972972973,8703,2436
6273.5,2660.27027,6273.5,2660.27027027027,6274,2660
6715.227272727272,2660.27027,6715.227272727272,2660.27027027027,6715,2660
4064.863636363636,2884.810810810811,4064.863636363636,2884.810810810811,4065,2885
7156.954545454546,2772.540541,7156.954545454546,2772.54054054054,7157,2773
8703,2884.810810810811,8703,2884.810810810811,8703,2885