x,y,x-clean,y-clean
6412.095637583893,5062,6412.095637583893,5062.1558101473
711,2339.960065466448,710.651565995526,2339.960065466448
6974.630872483223,3612.6749590834697,6974.630872483223,3612.6749590834697
2371.0816554809835,2149.596726677578,2371.0816554809835,2149.596726677578
1417.2175615212545,-921,1417.2175615212545,-920.691980360065
-254,3180.2782324058935,-254.082774049216,3180.2782324058935
1188.9423937360189,3781.2824877250414,1188.9423937360189,3781.2824877250414
1604.7293064876972,1526.8366612111295,1604.7293064876972,1526.8366612111295
-86,2766.917839607203,-85.5939597315439,2766.917839607203
6105.011185682329,1611.1404255319158,6105.011185682329,1611.1404255319158
2805.8914988814313,2106.0851063829796,2805.8914988814313,2106.0851063829796
-762,4444.834697217678,-762.266778523489,4444.834697217678
8202.968680089487,3669.7839607201313,8202.968680089487,3669.7839607201313
1784.088366890382,689.2379705400976,1784.088366890382,689.2379705400976
6591.454697986579,2590.151882160394,6591.454697986579,2590.151882160394
5287.025167785237,2606.4687397708676,5287.025167785237,2606.4687397708676
3664.640939597315,2231.1810147299507,3664.640939597315,2231.1810147299507
5651.178411633111,4651.514893617021,5651.178411633111,4651.514893617021
2150.9591722595096,-564,2150.9591722595096,-564.440589198035
754.1325503355713,700.1158756137488,754.1325503355713,700.1158756137488
-923,4863.634042553193,-922.602908277404,4863.634042553193
1485.1565995525743,5499.991489361704,1485.1565995525743,5499.991489361704
1256.8814317673387,4210.959738134207,1256.8814317673387,4210.959738134207
7830.6627516778535,1619.298854337152,7830.6627516778535,1619.298854337152
6566.996644295305,3740.4903436988543,6566.996644295305,3740.4903436988543
7023.546979865773,2647.260883797054,7023.546979865773,2647.260883797054
8662,2921.9279869067113,8662.23657718121,2921.9279869067113
588.3612975391502,1105.3178396072012,588.3612975391502,1105.3178396072012
2387.387024608501,3471.262193126023,2387.387024608501,3471.262193126023
-482,6440.930278232408,-482.357941834451,6440.930278232408
1115.5682326621936,2500.4091653027835,1115.5682326621936,2500.4091653027835
7327.913870246088,3357.0441898527015,7327.913870246088,3357.0441898527015
251.38366890380394,1937.4775777414088,251.38366890380394,1937.4775777414088
8241.014541387023,1761,8241.014541387023,1760.7116202946
-1015,5301.469721767596,-1015,5301.469721767596
4523,2323.6432078559747,4523.3903803132,2323.6432078559747
1702.5615212527982,3316.2520458265153,1702.5615212527982,3316.2520458265153
1270.4692393736027,3357.0441898527015,1270.4692393736027,3357.0441898527015
1085.675055928412,-116,1085.675055928412,-115.727004909982
-423,3599.0775777414083,-422.571588366889,3599.0775777414083
4091.2980984340056,2304.6068739770876,4091.2980984340056,2304.6068739770876
343.7807606263982,6699,343.7807606263982,6699.28052373159
83,2350.837970540099,82.8948545861308,2350.837970540099
1528.637583892617,2378.032733224223,1528.637583892617,2378.032733224223
7401.288031319911,1583.9456628477915,7401.288031319911,1583.9456628477915
5727.270134228187,3952.609492635025,5727.270134228187,3952.609492635025
3180.9149888143193,3117.730278232407,3180.9149888143193,3117.730278232407
-966,5739.305400981998,-966.083892617449,5739.305400981998
1558.5307606263982,5929.668739770868,1558.5307606263982,5929.668739770868
2778.715883668903,3283.6183306055664,2778.715883668903,3283.6183306055664
2305.8601789709173,-1416,2305.8601789709173,-1415.63666121112
7580.647091722596,4820.122422258593,7580.647091722596,4820.122422258593
4857.650447427292,2660.858265139117,4857.650447427292,2660.858265139117
4944.612416107383,2209.4252045826524,4944.612416107383,2209.4252045826524
1409.064876957494,5070.314238952538,1409.064876957494,5070.314238952538
1778.6532438478753,1124.3541734860883,1778.6532438478753,1124.3541734860883
8548.098993288593,2070.731914893617,8548.098993288593,2070.731914893617
415.8260341163309,1521.2920842160393,415.8260341163309,1521.2920842160393
1332.9731543624175,4640.636988543372,1332.9731543624175,4640.636988543372
1987.9054809843415,3642.5891980360075,1987.9054809843415,3642.5891980360075
8703,2484.0923076923077,8703,2484.0923076923077
1852.0274049217019,259.56072013093217,1852.0274049217019,259.56072013093217
6838.752796420584,5141,6838.752796420584,5141.02062193126
2319.4479865771814,-975,2319.4479865771814,-975.081505728314
778.5906040268458,6702,778.5906040268458,6702
811.2013422818791,1907.563338788871,811.2013422818791,1907.563338788871
6969.195749440717,1559.4703764320784,6969.195749440717,1559.4703764320784
3591.2667785234917,2973.598036006547,3591.2667785234917,2973.598036006547
7369,2921.9279869067113,7368.67729306488,2921.9279869067113
1582.9888143176727,-1323,1582.9888143176727,-1323.1744680851
6159.362416107385,2565.6765957446814,6159.362416107385,2565.6765957446814
1536.7902684563774,6362.0654664484455,1536.7902684563774,6362.0654664484455
1909.0961968680085,-1606,1909.0961968680085,-1606
8450.266778523492,3311,8450.266778523492,3310.81309328969
3237.983780760628,2149.596726677578,3237.983780760628,2149.596726677578
7273.562639821032,5130.142716857612,7273.562639821032,5130.142716857612
1210.6828859060415,1719.9194762684137,1210.6828859060415,1719.9194762684137
919.9038031319908,292.19443535188293,919.9038031319908,292.19443535188293
1947.1420581655498,2247.497872340426,1947.1420581655498,2247.497872340426
5724.552572706938,2571.1155482815057,5724.552572706938,2571.1155482815057
1987.9054809843415,-159,1987.9054809843415,-159.238625204582
7971.975950782999,4042.3522094926366,7971.975950782999,4042.3522094926366
4428.275727069353,2739.723076923078,4428.275727069353,2739.723076923078
6537.103467561523,1551.3119476268407,6537.103467561523,1551.3119476268407
5330.506152125282,2008.1839607201314,5330.506152125282,2008.1839607201314
4004.336129753915,2845.7826513911623,4004.336129753915,2845.7826513911623
1250.3592841163318,-519,1250.3592841163318,-519.297283142389
-88,6634,-88.3115212527957,6634.01309328969
6007.178970917227,4898.9872340425545,6007.178970917227,4898.9872340425545
5431.055928411633,4273.507692307692,5431.055928411633,4273.507692307692
-784,6133.629459901801,-784.007270693512,6133.629459901801
5702.812080536913,1779.7479541734865,5702.812080536913,1779.7479541734865
7776.311521252799,4431.2373158756145,7776.311521252799,4431.2373158756145
-591,4017.876923076924,-591.060402684563,4017.876923076924
6140.339485458614,3827.5135842880536,6140.339485458614,3827.5135842880536
1207.965324384788,6650.3299509001645,1207.965324384788,6650.3299509001645